id,name,difficulty,hours_to_study,point,xp,created_at
408,Belajar Membuat Website untuk Menjadi Desainer Website,0,13,0,500,2022-04-20 13:29:05
455,Asah 2025 - Kuis ILT FEBE AI,0,1,0,0,2022-07-28 16:39:12
465,SIB 3 ILT Quiz Machine Learning - Front End,0,10,0,0,2022-07-28 16:40:36
475,Asah 2025 - Kuis ILT Soft Skill,0,1,0,0,2022-07-28 16:42:24
485,BDT 2022 (Tahap 2) Pre-Test Android Developer Dasar,0,2,0,0,2022-08-10 15:07:03
490,BDT 2022 (Tahap 2) Pre-Test Machine Learning Dasar,0,2,0,0,2022-08-10 15:08:00
495,BDT 2022 (Tahap 2) Pre-Test IT Support,0,1,0,0,2022-08-10 15:08:50
500,BDT 2022 (Tahap 2) Pre-Test Analisis Data,0,2,0,0,2022-08-10 15:09:45
505,Simulasi Ujian Pendidik Level 1 (Google Certified Educator Level 1 - Indonesian),0,19,0,0,2022-08-26 13:41:26
510,Belajar Membuat Aplikasi Back-End untuk Pemula dengan Cloudeka,0,45,0,879,2022-09-08 13:40:38
515,Belajar Dasar DevOps Bagi Insinyur Operasi Pengembang Pemula,0,15,0,679,2022-09-19 13:26:54
520,Belajar Mengembangkan Website dengan HTML dan CSS Bagi Pengembang Web Pemula,0,15,0,879,2022-09-19 13:28:08
525,Memulai Dasar Pemrograman Bagi Pengembang Perangkat Lunak Pemula,0,15,0,679,2022-09-19 13:29:44
530,Bangkit General Assessment 2023,0,2,0,0,2022-10-06 21:28:27
535,Belajar Dasar Desain UX bagi Desainer UI/UX Pemula,0,23,0,499,2022-10-18 08:50:33
540,Tes Seleksi Asah 2025 – FEBE AI dan REBE AI,0,4,0,0,2022-11-11 13:23:11
545,Simulasi Ujian Pendidik Level 2 (Google Certified Educator Level 2 - Indonesian),0,19,0,0,2022-11-22 16:24:26
550,Simulasi Ujian Penilaian Keterampilan Pelatih (Trainer Skills Assessment - Indonesian),0,10,0,0,2022-11-22 16:26:08
570,Belajar Dasar Manajemen Proyek,0,11,0,679,2023-01-24 09:27:29
575,Bangkit 2024 ILT Quiz - Soft Skill,0,1,0,0,2023-02-01 10:12:43
595,Exam Challenge Campaign Hari Pendidikan,0,5,0,0,2023-04-13 11:33:36
605,Memulai Pemrograman dengan Haskell,0,20,0,879,2023-04-27 16:44:08
625,Pre-Test Dicoding Bootcamp,0,2,0,0,2023-06-21 10:03:18
645,SIB 5 ILT Quiz Full Stack,0,1,0,0,2023-07-12 14:53:31
668,Machine Learning Operations (MLOps) dengan Cloudeka,0,45,0,3279,2023-10-31 13:52:02
673,Tes Seleksi BEKUP Create: Upskilling Bootcamp 2025 - Multi-Platform App Developer (Flutter),0,2,0,0,2024-01-15 16:39:48
678,Asah 2025 - Kuis ILT REBE AI,0,1,0,0,2024-01-23 13:32:01
688,BDT 2024 Web Development Bootcamp ILT Quiz - Front End dan Back End ,0,1,0,0,2024-01-23 14:06:04
693,BDT 2024 Web Development Bootcamp ILT Quiz - Soft Skill,0,1,0,0,2024-01-23 14:09:30
718,Belajar Strategi Perencanaan Karier,0,20,0,879,2024-08-27 11:22:05
723,ILT Quiz - Soft Skill,0,1,0,0,2024-09-10 08:41:25
733,Tes Seleksi Coding Camp powered by DBS Foundation - AI Engineer dan Data Scientist,0,3,0,0,2024-09-23 10:00:09
738,Tes Seleksi Coding Camp powered by DBS Foundation - Full-Stack Web Developer,0,3,0,0,2024-09-23 10:19:39
748,Tes Seleksi Laskar AI,0,3,0,0,2024-10-18 16:11:53
763,Laskar AI 2025 ILT Quiz - Soft Skill,0,1,0,0,2024-12-03 14:35:07
768,Laskar AI 2025 ILT Quiz - Artificial Intelligence,0,10,0,0,2024-12-03 14:46:01
778,[SMK] Coding Camp powered by DBS Foundation 2025 ILT Quiz - Soft Skill,0,1,0,0,2024-12-05 11:04:59
783,[Univ] Coding Camp powered by DBS Foundation 2025 ILT Quiz - Soft Skill,0,1,0,0,2024-12-05 11:08:42
823,Simulasi Ujian Azure Data Scientist Associate,0,5,0,0,2024-12-31 12:24:20
828,Simulasi Ujian Azure AI Engineer Associate,0,5,0,0,2025-01-03 16:11:18
837,ILT Quiz - Flutter,0,1,0,0,2025-03-10 09:46:08
847,ILT Soft Skill Bootcamp,0,56,0,0,2025-03-12 11:55:43
852,Financial Literacy 101,0,3,0,0,2025-03-14 12:55:50
881,Belajar Pemrograman Rust untuk Pemula,0,40,0,879,2025-05-23 16:59:24
884,Pengenalan NVIDIA AI Enterprise,0,8,0,0,2025-07-16 09:39:50
887,Tes Seleksi Pijak in collaboration with IBM SkillsBuild,0,4,0,0,2025-08-01 09:56:11
890,Akselerasi Karier dan Produktivitas dengan Gemini,0,20,0,879,2025-08-13 09:00:47
905,Introduction to Financial Literacy,0,6,0,0,2025-10-10 16:39:05
