developer_id,cluster,persona,avg_study_hour,study_consistency_std,completion_speed,avg_exam_score,submission_fail_rate,retry_count
3390,3,The Consistent,14.264550264550264,69.60238521818937,0.5214285714285715,62.5,1.0,1.0
3390,3,The Consistent,13.366666666666667,439.0,0.56,83.84615384615384,0.0,0.0
3390,3,The Consistent,12.824,113.39544221788402,0.5785714285714286,83.84615384615384,1.0,1.0
3390,3,The Consistent,13.517241379310343,140.26425031830237,0.6,83.84615384615384,1.0,1.0
3390,0,The Sprinter,11.384615384615383,246.4,0.075,83.84615384615384,1.0,1.0
3390,0,The Sprinter,11.581395348837209,317.4266647589644,0.0666666666666666,95.0,0.0,2.0
3390,0,The Sprinter,8.0,79.79974937304002,0.0,88.0,0.0,2.0
3390,3,The Consistent,10.545454545454543,171.78345541860415,0.56,83.84615384615384,0.0,0.0
3390,2,The Struggler,12.936170212765957,123.02001247515688,10.0,83.46666666666667,1.0,1.0
3390,3,The Consistent,18.075,61.43056475171204,1.2,83.84615384615384,1.0,1.0
3390,0,The Sprinter,13.360824742268042,211.87439675430343,0.0666666666666666,78.51282051282051,0.0,2.0
3390,3,The Consistent,18.444444444444443,54.574386266486194,1.175,83.84615384615384,1.0,1.0
3390,3,The Consistent,9.31578947368421,0.0,0.56,83.84615384615384,0.0,0.0
3390,0,The Sprinter,16.354166666666668,150.5,0.1333333333333333,85.0,0.0,2.0
3390,0,The Sprinter,13.85897435897436,125.71014278887762,0.2666666666666666,83.84615384615384,1.0,1.0
3390,3,The Consistent,14.274193548387096,117.13187012935464,0.8571428571428571,83.84615384615384,1.0,1.0
3390,3,The Consistent,14.192982456140353,296.9938270963444,0.56,91.66666666666669,0.0,0.0
3390,3,The Consistent,14.547619047619047,4.636809247747852,0.5,83.84615384615384,1.0,1.0
3390,0,The Sprinter,15.03191489361702,81.8424553639491,0.15,83.84615384615384,0.0,1.0
3390,0,The Sprinter,17.764044943820224,389.0,0.1,70.66666666666667,0.0,1.0
3390,3,The Consistent,14.4,0.0,0.56,83.84615384615384,0.0,0.0
3390,3,The Consistent,12.785714285714286,0.0,0.56,83.84615384615384,0.0,0.0
3390,3,The Consistent,14.4,0.0,0.56,83.84615384615384,0.0,0.0
3390,2,The Struggler,10.588235294117649,128.0498946122334,7.775,72.5,1.0,1.0
3390,3,The Consistent,12.052631578947368,216.20866657005217,0.4625,63.333333333333336,1.0,1.0
3390,3,The Consistent,11.384615384615383,96.30550347721568,0.56,64.70588235294117,0.0,0.0
3390,0,The Sprinter,17.975609756097562,333.5688647041267,0.1333333333333333,72.0,0.0,1.0
3390,3,The Consistent,14.029850746268655,313.9652647985124,0.65,93.0,1.0,1.0
3390,0,The Sprinter,13.234375,163.4142656631367,0.0,92.9090909090909,0.0,1.0
3390,0,The Sprinter,12.050359712230216,312.12113033244003,0.0555555555555555,96.3,1.0,1.0
3390,3,The Consistent,16.149253731343283,279.5157240657491,0.4636363636363636,91.5,1.0,1.0
3390,0,The Sprinter,14.465116279069768,214.6216308866477,0.2,75.2,0.0,1.0
3390,3,The Consistent,14.184615384615384,174.31368914179467,0.56,75.0,0.0,0.0
3390,3,The Consistent,15.06896551724138,138.4456928782662,0.56,62.5,0.0,0.0
3390,3,The Consistent,14.131428571428572,96.51033570534912,0.9625,83.84615384615384,1.0,3.0
3390,4,The Night Owl,18.2027027027027,92.0,2.7777777777777777,92.32,0.0,1.0
3390,3,The Consistent,15.83838383838384,167.6393748497053,0.5555555555555556,71.125,0.0,1.0
3390,0,The Sprinter,14.051948051948052,211.4750280766029,0.0869565217391304,82.25,0.0,1.0
3390,3,The Consistent,13.990196078431373,158.242430045379,0.56,83.84615384615384,1.0,1.0
3390,0,The Sprinter,16.564705882352943,96.00896948838802,0.2,66.11538461538461,0.0,1.0
3390,3,The Consistent,15.726775956284152,98.51492849174724,0.5222222222222223,83.84615384615384,1.0,3.0
3390,3,The Consistent,15.405172413793103,179.74262154536413,1.048780487804878,72.27272727272727,1.0,3.0
3390,0,The Sprinter,20.67924528301887,0.0,0.1428571428571428,92.0,0.0,1.0
3390,4,The Night Owl,15.743589743589745,4.330127018922194,2.333333333333333,92.0,0.0,1.0
3390,0,The Sprinter,12.81081081081081,115.5,0.3333333333333333,93.73333333333332,0.0,1.0
3390,0,The Sprinter,15.072916666666666,12.111461513789324,0.0,89.71428571428571,0.0,1.0
3390,3,The Consistent,18.5,0.0,0.56,83.84615384615384,0.0,0.0
3390,3,The Consistent,12.375,2.9393876913398134,0.56,79.7,0.0,0.0
3390,0,The Sprinter,18.33333333333333,195.41030551124985,0.0666666666666666,88.7741935483871,0.0,1.0
3390,3,The Consistent,13.137614678899082,248.0124907248737,1.375,67.6086956521739,1.0,2.0
3390,3,The Consistent,20.27659574468085,229.49673200287623,0.56,82.77777777777777,0.0,0.0
3390,0,The Sprinter,11.423076923076923,193.7298376605937,0.3333333333333333,78.5,0.0,1.0
3390,3,The Consistent,8.772727272727273,0.0,0.56,75.0,0.0,0.0
3390,3,The Consistent,11.392857142857142,43.70222302721752,0.56,83.33333333333333,1.0,0.0
3390,0,The Sprinter,12.789473684210526,66.05563517804904,0.1333333333333333,86.42857142857143,0.0,1.0
3390,2,The Struggler,15.274193548387096,90.53750604031458,7.88,80.0,1.0,1.0
3390,3,The Consistent,11.5,0.0,0.56,83.84615384615384,0.0,0.0
3390,0,The Sprinter,15.642857142857142,0.0,0.0,85.0,1.0,1.0
3390,4,The Night Owl,12.348484848484848,102.78783898764485,1.7272727272727273,81.875,1.0,1.0
